,Address,Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Frequency,Furnishing,Purpose,Posted_date,Age_of_listing_in_days,Location,City,Latitude,Longitude
1,"The Gate Tower 2, The Gate Tower, Shams Gate District, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",124000,3,4,Apartment,1785,69.46778711484593,Medium,Yearly,Unfurnished,For Rent,00:00.0,45,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
2,"Water's Edge, Yas Island, Abu Dhabi",140000,3,4,Apartment,1422,98.45288326300984,Medium,Yearly,Unfurnished,For Rent,00:00.0,44,Yas Island,Abu Dhabi,24.4940223,54.6073721
3,"Al Raha Lofts, Al Raha Beach, Abu Dhabi",99000,2,3,Apartment,1314,75.34246575342466,Medium,Yearly,Furnished,For Rent,00:00.0,31,Al Raha Beach,Abu Dhabi,24.48593095,54.60093932996362
4,"Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",220000,3,4,Penthouse,3843,57.24694249284413,High,Yearly,Unfurnished,For Rent,00:00.0,57,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
5,"West Yas, Yas Island, Abu Dhabi",350000,5,7,Villa,6860,51.02040816326531,High,Yearly,Unfurnished,For Rent,00:00.0,65,Yas Island,Abu Dhabi,24.4940223,54.6073721
6,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",75000,1,1,Apartment,706,106.23229461756374,Medium,Yearly,Furnished,For Rent,00:00.0,131,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
7,"Water's Edge, Yas Island, Abu Dhabi",65000,1,1,Apartment,698,93.12320916905443,Low,Yearly,Unfurnished,For Rent,00:00.0,41,Yas Island,Abu Dhabi,24.4940223,54.6073721
8,"Noya, Yas Island, Abu Dhabi",170000,3,4,Townhouse,1989,85.47008547008546,High,Yearly,Unfurnished,For Rent,00:00.0,59,Yas Island,Abu Dhabi,24.4940223,54.6073721
9,"Ansam 3, Ansam, Yas Island, Abu Dhabi",75000,1,2,Apartment,886,84.65011286681715,Medium,Yearly,Unfurnished,For Rent,00:00.0,16,Yas Island,Abu Dhabi,24.4940223,54.6073721
10,"Marina Heights I, Marina Heights, Marina Square, Al Reem Island, Abu Dhabi",160000,2,3,Apartment,1430,111.8881118881119,High,Yearly,Unfurnished,For Rent,00:00.0,16,Al Reem Island,Abu Dhabi,24.4935984,54.40784050903402
11,"Bloom Marina, Al Bateen, Abu Dhabi",110000,2,2,Apartment,1356,81.12094395280236,Medium,Yearly,Unfurnished,For Rent,00:00.0,448,Al Bateen,Abu Dhabi,24.2048941,55.6196612
